No.,Time,Source,Destination,Protocol,Length,Value,normality
8,0.024275,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
17,0.12695499999999998,192.168.0.103,192.168.0.104,HTTP,270,130.00,0
26,0.24591999999999997,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
35,0.349294,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
43,0.45491099999999995,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
54,0.573652,192.168.0.103,192.168.0.104,HTTP,270,132.00,0
63,0.682086,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
72,0.808288,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
79,0.915507,192.168.0.103,192.168.0.104,HTTP,270,132.00,0
90,1.044197,192.168.0.103,192.168.0.104,HTTP,270,132.00,0
100,1.1422450000000002,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
110,1.260429,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
119,1.365987,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
126,1.4839040000000001,192.168.0.103,192.168.0.104,HTTP,270,132.00,0
136,1.594026,192.168.0.103,192.168.0.104,HTTP,270,132.00,0
145,1.7102970000000002,192.168.0.103,192.168.0.104,HTTP,270,132.00,0
155,1.830098,192.168.0.103,192.168.0.104,HTTP,270,132.00,0
162,1.9384009999999998,192.168.0.103,192.168.0.104,HTTP,270,133.00,0
173,2.0601119999999997,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
182,2.168918,192.168.0.103,192.168.0.104,HTTP,270,132.00,0
191,2.27128,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
200,2.39072,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
209,2.490352,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
219,2.603021,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
228,2.734352,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
238,2.8477580000000002,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
247,2.977598,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
256,3.0887599999999997,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
265,3.217259,192.168.0.103,192.168.0.104,HTTP,270,132.00,0
274,3.3317330000000003,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
283,3.4554980000000004,192.168.0.103,192.168.0.104,HTTP,270,132.00,0
292,3.5731330000000003,192.168.0.103,192.168.0.104,HTTP,270,132.00,0
301,3.6961180000000002,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
310,3.818689,192.168.0.103,192.168.0.104,HTTP,270,132.00,0
319,3.947121,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
328,4.059664,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
337,4.206066000000001,192.168.0.103,192.168.0.104,HTTP,270,132.00,0
346,4.3103489999999995,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
356,4.4264660000000005,192.168.0.103,192.168.0.104,HTTP,270,132.00,0
365,4.543966999999999,192.168.0.103,192.168.0.104,HTTP,270,132.00,0
376,4.6692860000000005,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
385,4.787255,192.168.0.103,192.168.0.104,HTTP,270,133.00,0
394,4.9203660000000005,192.168.0.103,192.168.0.104,HTTP,270,132.00,0
403,5.151863,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
412,5.223964,192.168.0.103,192.168.0.104,HTTP,270,132.00,0
421,5.282988,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
432,5.517832,192.168.0.103,192.168.0.104,HTTP,270,132.00,0
441,5.558287,192.168.0.103,192.168.0.104,HTTP,270,132.00,0
450,5.821761,192.168.0.103,192.168.0.104,HTTP,270,132.00,0
459,5.885713,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
466,5.979921,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
477,6.213472,192.168.0.103,192.168.0.104,HTTP,270,132.00,0
486,6.355149,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
495,6.432179,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
504,6.49751,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
513,6.641628,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
522,6.73262,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
531,6.8689160000000005,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
538,6.963239,192.168.0.103,192.168.0.104,HTTP,270,133.00,0
548,7.055497999999999,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
557,7.191324000000001,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
566,7.303014,192.168.0.103,192.168.0.104,HTTP,270,132.00,0
575,7.4230789999999995,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
582,7.509154,192.168.0.103,192.168.0.104,HTTP,269,26.00,0
593,7.628396,192.168.0.103,192.168.0.104,HTTP,269,19.00,0
604,7.744957,192.168.0.103,192.168.0.104,HTTP,269,17.00,0
613,7.852852,192.168.0.103,192.168.0.104,HTTP,269,14.00,0
621,7.958633,192.168.0.103,192.168.0.104,HTTP,269,14.00,0
630,8.088612,192.168.0.103,192.168.0.104,HTTP,269,18.00,0
639,8.199441,192.168.0.103,192.168.0.104,HTTP,269,11.00,0
648,8.306124,192.168.0.103,192.168.0.104,HTTP,269,15.00,0
657,8.419981,192.168.0.103,192.168.0.104,HTTP,269,19.00,0
665,8.542545,192.168.0.103,192.168.0.104,HTTP,269,30.00,0
675,8.643532,192.168.0.103,192.168.0.104,HTTP,269,11.00,0
684,8.75578,192.168.0.103,192.168.0.104,HTTP,269,11.00,0
695,9.858423,192.168.0.103,192.168.0.104,HTTP,269,11.00,0
704,9.912621000000001,192.168.0.103,192.168.0.104,HTTP,269,16.00,0
713,9.998899,192.168.0.103,192.168.0.104,HTTP,269,11.00,0
722,10.099611999999999,192.168.0.103,192.168.0.104,HTTP,269,10.00,0
731,10.222146,192.168.0.103,192.168.0.104,HTTP,269,11.00,0
741,10.349851,192.168.0.103,192.168.0.104,HTTP,269,10.00,0
750,10.451338,192.168.0.103,192.168.0.104,HTTP,268,9.00,0
760,10.57895,192.168.0.103,192.168.0.104,HTTP,269,10.00,0
769,10.693897,192.168.0.103,192.168.0.104,HTTP,269,10.00,0
778,10.784175999999999,192.168.0.103,192.168.0.104,HTTP,269,15.00,0
787,10.907908,192.168.0.103,192.168.0.104,HTTP,270,104.00,0
794,11.034424000000001,192.168.0.103,192.168.0.104,HTTP,270,110.00,0
805,11.141827000000001,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
814,11.230143,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
824,11.351137,192.168.0.103,192.168.0.104,HTTP,270,132.00,0
833,11.47482,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
842,11.617499,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
851,11.700433,192.168.0.103,192.168.0.104,HTTP,270,132.00,0
860,11.803797,192.168.0.103,192.168.0.104,HTTP,270,132.00,0
869,11.927628,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
877,12.015427,192.168.0.103,192.168.0.104,HTTP,270,133.00,0
887,12.147357000000001,192.168.0.103,192.168.0.104,HTTP,270,132.00,0
896,12.249725999999999,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
905,12.383676,192.168.0.103,192.168.0.104,HTTP,270,132.00,0
915,12.486312,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
924,12.613041,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
933,12.710092,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
942,12.820221,192.168.0.103,192.168.0.104,HTTP,270,131.00,0
952,12.937188,192.168.0.103,192.168.0.104,HTTP,270,132.00,0
959,13.055347,192.168.0.103,192.168.0.104,HTTP,270,133.00,0
969,13.162953,192.168.0.103,192.168.0.104,HTTP,270,117.00,0
978,13.274892999999999,192.168.0.103,192.168.0.104,HTTP,270,109.00,0
987,13.390248999999999,192.168.0.103,192.168.0.104,HTTP,270,108.00,0
995,13.493239,192.168.0.103,192.168.0.104,HTTP,270,106.00,0
1005,13.621226,192.168.0.103,192.168.0.104,HTTP,269,11.00,0
1014,13.740469000000001,192.168.0.103,192.168.0.104,HTTP,269,10.00,0
1023,13.854269,192.168.0.103,192.168.0.104,HTTP,269,16.00,0
1032,13.958207000000002,192.168.0.103,192.168.0.104,HTTP,268,7.00,0
1039,14.062945999999998,192.168.0.103,192.168.0.104,HTTP,268,8.00,0
1049,14.176356,192.168.0.103,192.168.0.104,HTTP,268,7.00,0
1059,14.300165,192.168.0.103,192.168.0.104,HTTP,268,8.00,0
1069,14.407975,192.168.0.103,192.168.0.104,HTTP,268,7.00,0
