"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.0.107","192.168.0.104","TCP","54","63626  >  80 [ACK] Seq=1 Ack=1 Win=2144 Len=0"
"2","0.000031203","192.168.0.107","192.168.0.104","HTTP","269","GET /ids/server.php?data=87.00 HTTP/1.1 "
"3","0.000060771","192.168.0.104","192.168.0.107","TCP","54","80  >  63626 [ACK] Seq=1 Ack=216 Win=64025 Len=0"
"4","0.001875032","192.168.0.104","192.168.0.107","HTTP","288","HTTP/1.1 200 OK  (text/html)"
"5","0.018167618","192.168.0.107","192.168.0.104","TCP","54","63626  >  80 [FIN, ACK] Seq=216 Ack=235 Win=1910 Len=0"
"6","0.018261419","192.168.0.104","192.168.0.107","TCP","54","80  >  63626 [FIN, ACK] Seq=235 Ack=217 Win=64025 Len=0"
"7","0.021818490","192.168.0.107","192.168.0.104","TCP","54","63626  >  80 [ACK] Seq=217 Ack=236 Win=1909 Len=0"
"8","0.103244850","192.168.0.107","192.168.0.104","TCP","62","56694  >  80 [SYN] Seq=0 Win=2144 Len=0 MSS=536 SACK_PERM=1"
"9","0.103280801","192.168.0.104","192.168.0.107","TCP","62","80  >  56694 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM=1"
"10","0.109411179","192.168.0.107","192.168.0.104","TCP","54","56694  >  80 [ACK] Seq=1 Ack=1 Win=2144 Len=0"
"11","0.111026890","192.168.0.107","192.168.0.104","HTTP","269","GET /ids/server.php?data=88.00 HTTP/1.1 "
"12","0.111046819","192.168.0.104","192.168.0.107","TCP","54","80  >  56694 [ACK] Seq=1 Ack=216 Win=64025 Len=0"
"13","0.111449452","192.168.0.104","192.168.0.107","HTTP","288","HTTP/1.1 200 OK  (text/html)"
"14","0.134293615","192.168.0.107","192.168.0.104","TCP","54","56694  >  80 [FIN, ACK] Seq=216 Ack=235 Win=1910 Len=0"
"15","0.134330478","192.168.0.104","192.168.0.107","TCP","54","80  >  56694 [FIN, ACK] Seq=235 Ack=217 Win=64025 Len=0"
"16","0.139187077","192.168.0.107","192.168.0.104","TCP","54","56694  >  80 [ACK] Seq=217 Ack=236 Win=1909 Len=0"
"17","0.219339944","192.168.0.107","192.168.0.104","TCP","62","55446  >  80 [SYN] Seq=0 Win=2144 Len=0 MSS=536 SACK_PERM=1"
"18","0.219362119","192.168.0.104","192.168.0.107","TCP","62","80  >  55446 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM=1"
"19","0.226225692","192.168.0.107","192.168.0.104","TCP","54","55446  >  80 [ACK] Seq=1 Ack=1 Win=2144 Len=0"
"20","0.229420030","192.168.0.107","192.168.0.104","HTTP","269","GET /ids/server.php?data=87.00 HTTP/1.1 "
"21","0.229434821","192.168.0.104","192.168.0.107","TCP","54","80  >  55446 [ACK] Seq=1 Ack=216 Win=64025 Len=0"
"22","0.229728286","192.168.0.104","192.168.0.107","HTTP","288","HTTP/1.1 200 OK  (text/html)"
"23","0.244786445","192.168.0.107","192.168.0.104","TCP","54","55446  >  80 [FIN, ACK] Seq=216 Ack=235 Win=1910 Len=0"
"24","0.244822013","192.168.0.104","192.168.0.107","TCP","54","80  >  55446 [FIN, ACK] Seq=235 Ack=217 Win=64025 Len=0"
"25","0.248394739","192.168.0.107","192.168.0.104","TCP","54","55446  >  80 [ACK] Seq=217 Ack=236 Win=1909 Len=0"
"26","0.336577506","192.168.0.107","192.168.0.104","TCP","62","58222  >  80 [SYN] Seq=0 Win=2144 Len=0 MSS=536 SACK_PERM=1"
"27","0.336614506","192.168.0.104","192.168.0.107","TCP","62","80  >  58222 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM=1"
"28","0.347345490","192.168.0.107","192.168.0.104","TCP","54","58222  >  80 [ACK] Seq=1 Ack=1 Win=2144 Len=0"
"29","0.347355065","192.168.0.107","192.168.0.104","HTTP","269","GET /ids/server.php?data=87.00 HTTP/1.1 "
"30","0.347371508","192.168.0.104","192.168.0.107","TCP","54","80  >  58222 [ACK] Seq=1 Ack=216 Win=64025 Len=0"
"31","0.347716879","192.168.0.104","192.168.0.107","HTTP","288","HTTP/1.1 200 OK  (text/html)"
"32","0.363449016","192.168.0.107","192.168.0.104","TCP","54","58222  >  80 [FIN, ACK] Seq=216 Ack=235 Win=1910 Len=0"
"33","0.363514733","192.168.0.104","192.168.0.107","TCP","54","80  >  58222 [FIN, ACK] Seq=235 Ack=217 Win=64025 Len=0"
"34","0.369263024","192.168.0.107","192.168.0.104","TCP","54","58222  >  80 [ACK] Seq=217 Ack=236 Win=1909 Len=0"
"35","0.450802243","192.168.0.107","192.168.0.104","TCP","62","49237  >  80 [SYN] Seq=0 Win=2144 Len=0 MSS=536 SACK_PERM=1"
"36","0.450842204","192.168.0.104","192.168.0.107","TCP","62","80  >  49237 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM=1"
"37","0.454780878","192.168.0.107","192.168.0.104","TCP","54","49237  >  80 [ACK] Seq=1 Ack=1 Win=2144 Len=0"
"38","0.457158763","192.168.0.107","192.168.0.104","HTTP","269","GET /ids/server.php?data=82.00 HTTP/1.1 "
"39","0.457183548","192.168.0.104","192.168.0.107","TCP","54","80  >  49237 [ACK] Seq=1 Ack=216 Win=64025 Len=0"
"40","0.457540106","192.168.0.104","192.168.0.107","HTTP","288","HTTP/1.1 200 OK  (text/html)"
"41","0.468697029","192.168.0.107","192.168.0.104","TCP","54","49237  >  80 [FIN, ACK] Seq=216 Ack=235 Win=1910 Len=0"
"42","0.468759298","192.168.0.104","192.168.0.107","TCP","54","80  >  49237 [FIN, ACK] Seq=235 Ack=217 Win=64025 Len=0"
"43","0.472124745","192.168.0.107","192.168.0.104","TCP","54","49237  >  80 [ACK] Seq=217 Ack=236 Win=1909 Len=0"
"44","0.567465503","192.168.0.107","192.168.0.104","TCP","62","51172  >  80 [SYN] Seq=0 Win=2144 Len=0 MSS=536 SACK_PERM=1"
"45","0.567506835","192.168.0.104","192.168.0.107","TCP","62","80  >  51172 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM=1"
"46","0.581256635","192.168.0.107","192.168.0.104","TCP","54","51172  >  80 [ACK] Seq=1 Ack=1 Win=2144 Len=0"
"47","0.581265136","192.168.0.107","192.168.0.104","HTTP","269","GET /ids/server.php?data=88.00 HTTP/1.1 "
"48","0.581281154","192.168.0.104","192.168.0.107","TCP","54","80  >  51172 [ACK] Seq=1 Ack=216 Win=64025 Len=0"
"49","0.581623534","192.168.0.104","192.168.0.107","HTTP","288","HTTP/1.1 200 OK  (text/html)"
"50","0.591695021","192.168.0.107","192.168.0.104","TCP","54","51172  >  80 [FIN, ACK] Seq=216 Ack=235 Win=1910 Len=0"
"51","0.591736544","192.168.0.104","192.168.0.107","TCP","54","80  >  51172 [FIN, ACK] Seq=235 Ack=217 Win=64025 Len=0"
"52","0.596019379","192.168.0.107","192.168.0.104","TCP","54","51172  >  80 [ACK] Seq=217 Ack=236 Win=1909 Len=0"
"53","0.683963738","192.168.0.107","192.168.0.104","TCP","62","53876  >  80 [SYN] Seq=0 Win=2144 Len=0 MSS=536 SACK_PERM=1"
