"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.103","192.168.0.104","TCP","54","65291  >  80 [FIN, ACK] Seq=1 Ack=1 Win=1861 Len=0"
"2","0.000025","192.168.0.104","192.168.0.103","TCP","54","80  >  65291 [ACK] Seq=1 Ack=2 Win=65176 Len=0"
"3","0.000075","192.168.0.104","192.168.0.103","TCP","54","80  >  65291 [FIN, ACK] Seq=1 Ack=2 Win=65176 Len=0"
"4","0.001522","192.168.0.103","192.168.0.104","TCP","62","51181  >  80 [SYN] Seq=0 Win=2144 Len=0 MSS=536 SACK_PERM=1"
"5","0.001579","192.168.0.104","192.168.0.103","TCP","62","80  >  51181 [SYN, ACK] Seq=0 Ack=1 Win=65392 Len=0 MSS=1460 SACK_PERM=1"
"6","0.018927","192.168.0.103","192.168.0.104","TCP","54","65291  >  80 [ACK] Seq=2 Ack=2 Win=1860 Len=0"
"7","0.019632","192.168.0.103","192.168.0.104","TCP","54","51181  >  80 [ACK] Seq=1 Ack=1 Win=2144 Len=0"
"8","0.024275","192.168.0.103","192.168.0.104","HTTP","270","GET /ids/server.php?data=131.00 HTTP/1.1 "
"9","0.033009","192.168.0.104","192.168.0.103","HTTP","337","HTTP/1.1 200 OK  (text/html)"
"10","0.104469","192.168.0.103","192.168.0.104","TCP","54","51181  >  80 [FIN, ACK] Seq=217 Ack=284 Win=1861 Len=0"
"11","0.104514","192.168.0.104","192.168.0.103","TCP","54","80  >  51181 [ACK] Seq=284 Ack=218 Win=65176 Len=0"
"12","0.104604","192.168.0.104","192.168.0.103","TCP","54","80  >  51181 [FIN, ACK] Seq=284 Ack=218 Win=65176 Len=0"
"13","0.105473","192.168.0.103","192.168.0.104","TCP","62","51360  >  80 [SYN] Seq=0 Win=2144 Len=0 MSS=536 SACK_PERM=1"
"14","0.105546","192.168.0.104","192.168.0.103","TCP","62","80  >  51360 [SYN, ACK] Seq=0 Ack=1 Win=65392 Len=0 MSS=1460 SACK_PERM=1"
"15","0.125721","192.168.0.103","192.168.0.104","TCP","54","51181  >  80 [ACK] Seq=218 Ack=285 Win=1860 Len=0"
"16","0.125812","192.168.0.103","192.168.0.104","TCP","54","51360  >  80 [ACK] Seq=1 Ack=1 Win=2144 Len=0"
"17","0.126955","192.168.0.103","192.168.0.104","HTTP","270","GET /ids/server.php?data=130.00 HTTP/1.1 "
"18","0.138716","192.168.0.104","192.168.0.103","HTTP","337","HTTP/1.1 200 OK  (text/html)"
"19","0.215288","192.168.0.103","192.168.0.104","TCP","54","51360  >  80 [FIN, ACK] Seq=217 Ack=284 Win=1861 Len=0"
"20","0.215322","192.168.0.104","192.168.0.103","TCP","54","80  >  51360 [ACK] Seq=284 Ack=218 Win=65176 Len=0"
"21","0.215361","192.168.0.104","192.168.0.103","TCP","54","80  >  51360 [FIN, ACK] Seq=284 Ack=218 Win=65176 Len=0"
"22","0.225703","192.168.0.103","192.168.0.104","TCP","62","49725  >  80 [SYN] Seq=0 Win=2144 Len=0 MSS=536 SACK_PERM=1"
"23","0.225776","192.168.0.104","192.168.0.103","TCP","62","80  >  49725 [SYN, ACK] Seq=0 Ack=1 Win=65392 Len=0 MSS=1460 SACK_PERM=1"
"24","0.244563","192.168.0.103","192.168.0.104","TCP","54","51360  >  80 [ACK] Seq=218 Ack=285 Win=1860 Len=0"
"25","0.245411","192.168.0.103","192.168.0.104","TCP","54","49725  >  80 [ACK] Seq=1 Ack=1 Win=2144 Len=0"
"26","0.245920","192.168.0.103","192.168.0.104","HTTP","270","GET /ids/server.php?data=131.00 HTTP/1.1 "
"27","0.256577","192.168.0.104","192.168.0.103","HTTP","337","HTTP/1.1 200 OK  (text/html)"
"28","0.327051","192.168.0.103","192.168.0.104","TCP","54","49725  >  80 [FIN, ACK] Seq=217 Ack=284 Win=1861 Len=0"
"29","0.327119","192.168.0.104","192.168.0.103","TCP","54","80  >  49725 [ACK] Seq=284 Ack=218 Win=65176 Len=0"
"30","0.327193","192.168.0.104","192.168.0.103","TCP","54","80  >  49725 [FIN, ACK] Seq=284 Ack=218 Win=65176 Len=0"
"31","0.331018","192.168.0.103","192.168.0.104","TCP","62","58622  >  80 [SYN] Seq=0 Win=2144 Len=0 MSS=536 SACK_PERM=1"
"32","0.331098","192.168.0.104","192.168.0.103","TCP","62","80  >  58622 [SYN, ACK] Seq=0 Ack=1 Win=65392 Len=0 MSS=1460 SACK_PERM=1"
"33","0.346071","192.168.0.103","192.168.0.104","TCP","54","49725  >  80 [ACK] Seq=218 Ack=285 Win=1860 Len=0"
"34","0.347795","192.168.0.103","192.168.0.104","TCP","54","58622  >  80 [ACK] Seq=1 Ack=1 Win=2144 Len=0"
"35","0.349294","192.168.0.103","192.168.0.104","HTTP","270","GET /ids/server.php?data=131.00 HTTP/1.1 "
"36","0.361387","192.168.0.104","192.168.0.103","HTTP","337","HTTP/1.1 200 OK  (text/html)"
